-,120,_
5412,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5354~5450),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1196,force_strike:0,skill_1:1936,skill_2:0,skill_3:872,team_buff:0,s1_energized:14,s1_crisis:1239,s3_energized:91,s1_crisis_energized:61
3413,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3413~3413),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1045,force_strike:0,skill_1:1636,skill_2:0,skill_3:730,team_buff:0
-,120,b
5584,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5516~5611),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1184,force_strike:0,skill_1:2105,skill_2:0,skill_3:743,team_buff:0,s1_energized:70,s1_crisis:1347,s3_energized:34,s1_crisis_energized:98
3219,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3219~3219),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:970,force_strike:0,skill_1:1675,skill_2:0,skill_3:573,team_buff:0
-,120,kb
5584,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5516~5611),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1184,force_strike:0,skill_1:2105,skill_2:0,skill_3:743,team_buff:0,s1_energized:70,s1_crisis:1347,s3_energized:34,s1_crisis_energized:98
3219,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3219~3219),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:970,force_strike:0,skill_1:1675,skill_2:0,skill_3:573,team_buff:0
-,120,rd
6462,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(6390~6508),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1278,force_strike:0,skill_1:2380,skill_2:0,skill_3:1073,team_buff:0,s1_energized:18,s1_crisis:1523,s3_energized:111,s1_crisis_energized:76
3768,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3768~3768),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1045,force_strike:0,skill_1:1881,skill_2:0,skill_3:840,team_buff:0
-,120,krd
6462,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(6390~6508),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1278,force_strike:0,skill_1:2380,skill_2:0,skill_3:1073,team_buff:0,s1_energized:18,s1_crisis:1523,s3_energized:111,s1_crisis_energized:76
3768,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3768~3768),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1045,force_strike:0,skill_1:1881,skill_2:0,skill_3:840,team_buff:0
-,120,rb
6245,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(6147~6275),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1184,force_strike:0,skill_1:2420,skill_2:0,skill_3:855,team_buff:0,s1_energized:81,s1_crisis:1549,s3_energized:40,s1_crisis_energized:114
3557,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3557~3557),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:970,force_strike:0,skill_1:1927,skill_2:0,skill_3:659,team_buff:0
-,120,krb
6245,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(6147~6275),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1184,force_strike:0,skill_1:2420,skill_2:0,skill_3:855,team_buff:0,s1_energized:81,s1_crisis:1549,s3_energized:40,s1_crisis_energized:114
3557,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3557~3557),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:970,force_strike:0,skill_1:1927,skill_2:0,skill_3:659,team_buff:0
-,120,db
5970,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5874~5999),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1265,force_strike:0,skill_1:2250,skill_2:0,skill_3:795,team_buff:0,s1_energized:75,s1_crisis:1440,s3_energized:37,s1_crisis_energized:106
3442,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3442~3442),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1037,force_strike:0,skill_1:1791,skill_2:0,skill_3:612,team_buff:0
-,120,kdb
5970,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5874~5999),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1265,force_strike:0,skill_1:2250,skill_2:0,skill_3:795,team_buff:0,s1_energized:75,s1_crisis:1440,s3_energized:37,s1_crisis_energized:106
3442,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3442~3442),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1037,force_strike:0,skill_1:1791,skill_2:0,skill_3:612,team_buff:0
-,120,rdb
6675,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(6575~6709),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1265,force_strike:0,skill_1:2588,skill_2:0,skill_3:914,team_buff:0,s1_energized:85,s1_crisis:1656,s3_energized:44,s1_crisis_energized:120
3802,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3802~3802),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1037,force_strike:0,skill_1:2060,skill_2:0,skill_3:704,team_buff:0
-,120,krdb
6675,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(6575~6709),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1265,force_strike:0,skill_1:2588,skill_2:0,skill_3:914,team_buff:0,s1_energized:85,s1_crisis:1656,s3_energized:44,s1_crisis_energized:120
3802,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3802~3802),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1037,force_strike:0,skill_1:2060,skill_2:0,skill_3:704,team_buff:0
