-,60,_
4012,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:999,force_strike:731,skill_1:1505,skill_2:428,skill_3:0,team_buff:348
4487,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1267,force_strike:560,skill_1:1683,skill_2:465,skill_3:0,team_buff:509
-,60,kdb
5178,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1471,force_strike:650,skill_1:1954,skill_2:540,skill_3:0,team_buff:560
4936,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1394,force_strike:616,skill_1:1852,skill_2:512,skill_3:0,team_buff:560
-,60,rdb
5155,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:991,force_strike:438,skill_1:2486,skill_2:687,skill_3:0,team_buff:550
4867,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:929,force_strike:410,skill_1:2331,skill_2:644,skill_3:0,team_buff:550
-,60,krdb
5670,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:1090,force_strike:482,skill_1:2735,skill_2:756,skill_3:0,team_buff:605
5353,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:1022,force_strike:452,skill_1:2564,skill_2:709,skill_3:0,team_buff:605
-,120,_
4439,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1046,force_strike:775,skill_1:1637,skill_2:438,skill_3:0,team_buff:540
4187,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:979,force_strike:725,skill_1:1531,skill_2:410,skill_3:0,team_buff:540
-,120,k
4883,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1151,force_strike:853,skill_1:1800,skill_2:482,skill_3:0,team_buff:595
4606,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1077,force_strike:798,skill_1:1684,skill_2:451,skill_3:0,team_buff:595
-,120,r
4904,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:771,force_strike:571,skill_1:2348,skill_2:628,skill_3:0,team_buff:584
4572,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:712,force_strike:527,skill_1:2167,skill_2:580,skill_3:0,team_buff:584
-,120,kr
5394,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:848,force_strike:628,skill_1:2582,skill_2:691,skill_3:0,team_buff:642
5029,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:783,force_strike:580,skill_1:2384,skill_2:638,skill_3:0,team_buff:642
-,120,d
4713,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1110,force_strike:822,skill_1:1736,skill_2:465,skill_3:0,team_buff:578
4446,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1038,force_strike:769,skill_1:1624,skill_2:435,skill_3:0,team_buff:578
-,120,kd
5184,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1221,force_strike:905,skill_1:1910,skill_2:511,skill_3:0,team_buff:636
4891,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1142,force_strike:846,skill_1:1786,skill_2:478,skill_3:0,team_buff:636
-,120,b
4756,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1295,force_strike:579,skill_1:1745,skill_2:562,skill_3:0,team_buff:573
4537,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1228,force_strike:549,skill_1:1654,skill_2:532,skill_3:0,team_buff:573
-,120,kb
5232,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1425,force_strike:637,skill_1:1920,skill_2:618,skill_3:0,team_buff:630
4991,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1350,force_strike:604,skill_1:1819,skill_2:586,skill_3:0,team_buff:630
-,120,rd
5243,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:824,force_strike:611,skill_1:2510,skill_2:672,skill_3:0,team_buff:625
4888,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:761,force_strike:564,skill_1:2317,skill_2:620,skill_3:0,team_buff:625
-,120,krd
5767,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:907,force_strike:672,skill_1:2761,skill_2:739,skill_3:0,team_buff:687
5377,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:837,force_strike:620,skill_1:2548,skill_2:682,skill_3:0,team_buff:687
-,120,rb
5202,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:952,force_strike:426,skill_1:2424,skill_2:781,skill_3:0,team_buff:618
4916,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:892,force_strike:399,skill_1:2272,skill_2:732,skill_3:0,team_buff:618
-,120,krb
5723,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:1047,force_strike:468,skill_1:2666,skill_2:859,skill_3:0,team_buff:680
5408,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:982,force_strike:439,skill_1:2500,skill_2:805,skill_3:0,team_buff:680
-,120,db
5050,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1374,force_strike:614,skill_1:1851,skill_2:596,skill_3:0,team_buff:613
4818,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1302,force_strike:582,skill_1:1754,skill_2:565,skill_3:0,team_buff:613
-,120,kdb
5555,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1511,force_strike:676,skill_1:2036,skill_2:656,skill_3:0,team_buff:674
5300,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1432,force_strike:641,skill_1:1930,skill_2:621,skill_3:0,team_buff:674
-,120,rdb
5562,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:1018,force_strike:455,skill_1:2591,skill_2:834,skill_3:0,team_buff:662
5256,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:954,force_strike:427,skill_1:2429,skill_2:782,skill_3:0,team_buff:662
-,120,krdb
6118,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:1120,force_strike:501,skill_1:2850,skill_2:918,skill_3:0,team_buff:728
5782,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:1050,force_strike:469,skill_1:2672,skill_2:861,skill_3:0,team_buff:728
-,180,_
4497,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1048,force_strike:776,skill_1:1630,skill_2:496,skill_3:0,team_buff:544
4242,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:981,force_strike:726,skill_1:1525,skill_2:464,skill_3:0,team_buff:544
-,180,k
4947,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1153,force_strike:854,skill_1:1793,skill_2:546,skill_3:0,team_buff:599
4666,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1079,force_strike:799,skill_1:1677,skill_2:511,skill_3:0,team_buff:599
-,180,r
4984,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:773,force_strike:572,skill_1:2338,skill_2:712,skill_3:0,team_buff:588
4646,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:713,force_strike:528,skill_1:2158,skill_2:657,skill_3:0,team_buff:588
-,180,kr
5482,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:850,force_strike:629,skill_1:2572,skill_2:783,skill_3:0,team_buff:647
5110,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:784,force_strike:581,skill_1:2374,skill_2:723,skill_3:0,team_buff:647
-,180,d
4775,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1112,force_strike:823,skill_1:1729,skill_2:527,skill_3:0,team_buff:582
4504,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1040,force_strike:770,skill_1:1617,skill_2:493,skill_3:0,team_buff:582
-,180,kd
5252,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1223,force_strike:905,skill_1:1902,skill_2:579,skill_3:0,team_buff:641
4955,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1144,force_strike:847,skill_1:1779,skill_2:542,skill_3:0,team_buff:641
-,180,b
4848,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1308,force_strike:593,skill_1:1834,skill_2:539,skill_3:0,team_buff:572
4624,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1240,force_strike:562,skill_1:1738,skill_2:511,skill_3:0,team_buff:572
-,180,kb
5333,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1439,force_strike:652,skill_1:2017,skill_2:593,skill_3:0,team_buff:630
5087,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1364,force_strike:618,skill_1:1911,skill_2:562,skill_3:0,team_buff:630
-,180,rd
5329,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:826,force_strike:611,skill_1:2499,skill_2:761,skill_3:0,team_buff:629
4967,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:762,force_strike:564,skill_1:2307,skill_2:703,skill_3:0,team_buff:629
-,180,krd
5862,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:909,force_strike:672,skill_1:2749,skill_2:838,skill_3:0,team_buff:692
5464,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:839,force_strike:621,skill_1:2538,skill_2:773,skill_3:0,team_buff:692
-,180,rb
5313,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:961,force_strike:436,skill_1:2547,skill_2:749,skill_3:0,team_buff:618
5019,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:901,force_strike:408,skill_1:2387,skill_2:702,skill_3:0,team_buff:618
-,180,krb
5844,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:1058,force_strike:479,skill_1:2801,skill_2:824,skill_3:0,team_buff:680
5521,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:992,force_strike:449,skill_1:2626,skill_2:772,skill_3:0,team_buff:680
-,180,db
5147,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1387,force_strike:629,skill_1:1945,skill_2:572,skill_3:0,team_buff:612
4910,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1315,force_strike:596,skill_1:1843,skill_2:542,skill_3:0,team_buff:612
-,180,kdb
5662,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1526,force_strike:692,skill_1:2139,skill_2:629,skill_3:0,team_buff:674
5401,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1446,force_strike:655,skill_1:2027,skill_2:596,skill_3:0,team_buff:674
-,180,rdb
5680,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:1028,force_strike:466,skill_1:2723,skill_2:801,skill_3:0,team_buff:661
5367,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:964,force_strike:437,skill_1:2552,skill_2:751,skill_3:0,team_buff:661
-,180,krdb
6248,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:1131,force_strike:512,skill_1:2995,skill_2:881,skill_3:0,team_buff:728
5903,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:1060,force_strike:480,skill_1:2808,skill_2:826,skill_3:0,team_buff:728
